Number of blocks,Time,Algorithm,Plan length
4,1.9996166229248047,ASTAR,5
4,0.0,ASTAR,4
4,1.0008811950683594,ASTAR,5
4,1.0004043579101562,ASTAR,3
4,0.0,ASTAR,3
4,0.0,ASTAR,1
4,0.0,ASTAR,2
4,3.0007362365722656,ASTAR,6
4,1.0001659393310547,ASTAR,6
4,0.0,ASTAR,5
5,2.000570297241211,ASTAR,5
5,1.0006427764892578,ASTAR,6
5,6.000995635986328,ASTAR,6
5,1.0004043579101562,ASTAR,3
5,1.0001659393310547,ASTAR,5
5,1.0001659393310547,ASTAR,4
5,2.000570297241211,ASTAR,6
5,2.0003318786621094,ASTAR,5
5,0.0,ASTAR,5
5,6.000518798828125,ASTAR,6
6,15.00391960144043,ASTAR,7
6,278.0623435974121,ASTAR,9
6,5.001544952392578,ASTAR,7
6,68.01533699035645,ASTAR,7
6,6.00123405456543,ASTAR,6
6,15.003442764282227,ASTAR,8
6,0.0,ASTAR,4
6,4.00090217590332,ASTAR,6
6,0.9999275207519531,ASTAR,4
6,38.00845146179199,ASTAR,7
7,59.01670455932617,ASTAR,8
7,333.07480812072754,ASTAR,8
7,71.01559638977051,ASTAR,8
7,13.003110885620117,ASTAR,5
7,6126.473665237427,ASTAR,11
7,0.0,ASTAR,4
7,6.000518798828125,ASTAR,6
7,17.003297805786133,ASTAR,6
7,13.003349304199219,ASTAR,6
7,37.008047103881836,ASTAR,7
8,144.03271675109863,ASTAR,7
8,131.0293674468994,ASTAR,8
8,33.007144927978516,ASTAR,7
8,52699.790477752686,ASTAR,10
8,94.00391578674316,ASTAR,9
8,5863.980293273926,ASTAR,9
8,1499.3383884429932,ASTAR,12
8,12349.14231300354,ASTAR,13
8,31.007051467895508,ASTAR,8
8,30425.76575279236,ASTAR,12
9,44.00920867919922,ASTAR,8
9,40.00997543334961,ASTAR,9
9,4559.523344039917,ASTAR,13
9,1776122.1151351929,ASTAR,11
9,1363767.175912857,ASTAR,12
9,165.0369167327881,ASTAR,10
9,1720.3888893127441,ASTAR,10
9,135143.22233200073,ASTAR,9
9,687.1562004089355,ASTAR,9
9,2706379.972934723,ASTAR,14
10,77.01539993286133,ASTAR,8
