Number of blocks,Time,Algorithm
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
10,0.0,US
1000,3.0012130737304688,US
1000,3.000497817993164,US
1000,3.000497817993164,US
1000,3.000020980834961,US
1000,2.0003318786621094,US
1000,3.000974655151367,US
1000,3.000497817993164,US
1000,3.000497817993164,US
1000,21.004915237426758,US
1000,3.0002593994140625,US
10000,35.00795364379883,US
10000,58.013200759887695,US
10000,35.00795364379883,US
10000,34.006595611572266,US
10000,58.012962341308594,US
10000,34.00683403015137,US
10000,33.00786018371582,US
10000,58.012962341308594,US
10000,38.0091667175293,US
10000,38.00845146179199,US
10250,63.01450729370117,US
10250,34.00731086730957,US
10250,35.007476806640625,US
10250,61.01369857788086,US
10250,36.00788116455078,US
10250,36.01193428039551,US
10250,62.013864517211914,US
10250,37.008047103881836,US
10250,61.01369857788086,US
10250,62.01434135437012,US
10500,37.00828552246094,US
10500,68.01462173461914,US
10500,61.01369857788086,US
10500,37.008047103881836,US
10500,37.00876235961914,US
10500,62.014102935791016,US
10500,35.00771522521973,US
10500,36.00811958312988,US
10500,62.013864517211914,US
10500,37.008047103881836,US
10750,40.0087833404541,US
10750,62.01338768005371,US
10750,38.00821304321289,US
10750,37.00900077819824,US
10750,63.01403045654297,US
10750,66.01524353027344,US
10750,39.00861740112305,US
10750,64.01443481445312,US
10750,64.01395797729492,US
10750,39.00909423828125,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11,0.0,US
11000,39.00909423828125,US
11000,64.01419639587402,US
11000,42.01030731201172,US
11000,52.01101303100586,US
11000,74.01704788208008,US
11000,68.01533699035645,US
11000,41.00942611694336,US
11000,40.008544921875,US
11000,65.01412391662598,US
11000,38.00845146179199,US
11250,40.009260177612305,US
11250,65.01436233520508,US
11250,66.01548194885254,US
11250,38.0091667175293,US
11250,39.00885581970215,US
11250,66.01667404174805,US
11250,41.008949279785156,US
11250,39.00957107543945,US
11250,67.01517105102539,US
11250,67.01517105102539,US
11500,40.0087833404541,US
11500,41.00918769836426,US
11500,69.0152645111084,US
11500,71.0153579711914,US
11500,40.0090217590332,US
11500,48.01154136657715,US
11500,69.0162181854248,US
11500,69.0157413482666,US
11500,40.008544921875,US
11500,40.0087833404541,US
11750,68.01557540893555,US
11750,70.01543045043945,US
11750,41.00847244262695,US
11750,40.0090217590332,US
11750,66.01476669311523,US
11750,68.01557540893555,US
11750,43.009042739868164,US
11750,42.00935363769531,US
11750,67.01469421386719,US
11750,66.01500511169434,US
12,1.0001659393310547,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12,0.0,US
12000,72.01600074768066,US
12000,43.009281158447266,US
12000,42.00911521911621,US
12000,68.01486015319824,US
12000,73.01664352416992,US
12000,41.00942611694336,US
12000,45.00913619995117,US
12000,71.01559638977051,US
12000,70.01566886901855,US
12000,44.00992393493652,US
12250,48.011064529418945,US
12250,44.011592864990234,US
12250,70.01590728759766,US
12250,77.01683044433594,US
12250,43.00975799560547,US
12250,42.00887680053711,US
12250,68.01557540893555,US
12250,72.01647758483887,US
12250,70.01519203186035,US
12250,43.00951957702637,US
1250,4.001140594482422,US
1250,3.9997100830078125,US
1250,3.998279571533203,US
1250,3.000497817993164,US
1250,3.000974655151367,US
1250,3.0002593994140625,US
1250,4.000425338745117,US
1250,4.001140594482422,US
1250,3.0012130737304688,US
1250,3.0012130737304688,US
12500,72.01576232910156,US
12500,73.01664352416992,US
12500,74.01680946350098,US
12500,45.01032829284668,US
12500,44.00944709777832,US
12500,73.01712036132812,US
12500,71.01583480834961,US
12500,72.01790809631348,US
12500,44.010162353515625,US
12500,44.00992393493652,US
12750,70.01614570617676,US
12750,72.01623916625977,US
12750,72.01671600341797,US
12750,73.01568984985352,US
12750,46.010494232177734,US
12750,46.00977897644043,US
12750,71.01655006408691,US
12750,75.01769065856934,US
12750,72.01647758483887,US
12750,45.00985145568848,US
13,0.0,US
13,0.0,US
13,0.0,US
13,0.0,US
13,0.0,US
13,0.0,US
13,0.0,US
13,0.0,US
13,1.0001659393310547,US
13,0.0,US
13000,48.01058769226074,US
13000,47.010183334350586,US
13000,74.01633262634277,US
13000,73.01664352416992,US
13000,75.01864433288574,US
13000,74.01609420776367,US
13000,47.00970649719238,US
13000,47.011375427246094,US
13000,46.01144790649414,US
13000,74.01680946350098,US
13250,75.01864433288574,US
13250,75.01721382141113,US
13250,77.01706886291504,US
13250,48.01034927368164,US
13250,47.010183334350586,US
13250,72.01576232910156,US
13250,74.01657104492188,US
13250,75.01697540283203,US
13250,75.01697540283203,US
13250,48.01130294799805,US
13500,49.0117073059082,US
13500,51.01180076599121,US
13500,49.01123046875,US
13500,75.01626014709473,US
13500,79.01716232299805,US
13500,78.0177116394043,US
13500,78.0174732208252,US
13500,51.01180076599121,US
13500,52.011728286743164,US
13500,53.01165580749512,US
13750,51.01156234741211,US
13750,78.0177116394043,US
13750,77.01754570007324,US
13750,84.02109146118164,US
13750,78.0179500579834,US
13750,78.01675796508789,US
13750,50.01020431518555,US
13750,51.01180076599121,US
13750,50.012826919555664,US
13750,52.011966705322266,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14,0.0,US
14000,77.01778411865234,US
14000,77.01706886291504,US
14000,80.0175666809082,US
14000,78.0174732208252,US
14000,80.0178050994873,US
14000,81.01820945739746,US
14000,53.01189422607422,US
14000,50.39834976196289,US
14000,50.01115798950195,US
14000,51.01156234741211,US
14250,83.01830291748047,US
14250,84.01942253112793,US
14250,79.01740074157715,US
14250,81.01868629455566,US
14250,80.0180435180664,US
14250,81.02059364318848,US
14250,80.01828193664551,US
14250,87.0203971862793,US
14250,52.011728286743164,US
14250,52.011728286743164,US
14500,53.01213264465332,US
14500,54.012298583984375,US
