Number of blocks,Time,Algorithm,Plan length
4,0.0,BEST,7
4,0.0,BEST,4
4,4.00090217590332,BEST,6
4,0.0,BEST,3
4,0.0,BEST,3
4,0.0,BEST,1
4,0.0,BEST,2
4,4.000186920166016,BEST,6
4,0.0,BEST,8
4,0.0,BEST,5
5,8.01539421081543,BEST,10
5,0.0,BEST,6
5,3.9992332458496094,BEST,9
5,0.0,BEST,3
5,4.002809524536133,BEST,5
5,0.0,BEST,4
5,7.999897003173828,BEST,13
5,8.004426956176758,BEST,10
5,0.0,BEST,5
5,0.0,BEST,6
6,3.9987564086914062,BEST,7
6,12.003660202026367,BEST,11
6,7.989168167114258,BEST,9
6,24.021148681640625,BEST,12
6,7.987260818481445,BEST,14
6,8.00180435180664,BEST,17
6,0.0,BEST,4
6,4.001379013061523,BEST,7
6,4.000425338745117,BEST,6
6,4.006147384643555,BEST,7
7,4.001379013061523,BEST,8
7,28.008222579956055,BEST,14
7,36.010026931762695,BEST,16
7,12.014389038085938,BEST,9
7,113.36159706115723,BEST,27
7,0.0,BEST,6
7,8.001089096069336,BEST,6
7,20.004987716674805,BEST,10
7,16.004085540771484,BEST,6
7,12.003183364868164,BEST,9
8,16.004085540771484,BEST,13
8,104.01320457458496,BEST,21
8,584.1538906097412,BEST,27
8,3693.500757217407,BEST,16
8,72.01862335205078,BEST,15
8,8.001327514648438,BEST,9
8,28.00726890563965,BEST,22
8,28.020143508911133,BEST,23
8,28.106212615966797,BEST,27
8,19.895553588867188,BEST,15
9,136.0340118408203,BEST,16
9,16.0064697265625,BEST,18
9,305.8478832244873,BEST,18
9,80.26599884033203,BEST,26
9,536.691427230835,BEST,17
9,2952.0182609558105,BEST,58
9,24.005889892578125,BEST,15
9,945.1150894165039,BEST,19
9,512.9711627960205,BEST,17
9,976.3412475585938,BEST,45
10,24.21855926513672,BEST,11
10,49.02482032775879,BEST,20
10,2149.4250297546387,BEST,29
10,36.00907325744629,BEST,12
10,3507.290840148926,BEST,44
10,720.2003002166748,BEST,29
10,12324.0807056427,BEST,35
10,1108.2921028137207,BEST,36
10,120.02944946289062,BEST,29
10,161.17310523986816,BEST,22
11,848.2122421264648,BEST,45
11,11771.38066291809,BEST,56
11,88.02294731140137,BEST,24
11,13490.98014831543,BEST,61
11,172.04618453979492,BEST,22
11,5013.60559463501,BEST,41
11,26765.124320983887,BEST,55
11,13401.530265808105,BEST,23
11,4389.322519302368,BEST,43
11,62494.271755218506,BEST,72
12,2859.9963188171387,BEST,44
12,7868.437051773071,BEST,62
12,188.0481243133545,BEST,40
12,622.5857734680176,BEST,35
12,597.1646308898926,BEST,41
12,12489.672422409058,BEST,67
