Number of blocks,Time,Algorithm,Plan length
4,3.000974655151367,BFS,5
4,0.9999275207519531,BFS,4
4,2.0003318786621094,BFS,5
4,1.0001659393310547,BFS,3
4,1.0004043579101562,BFS,3
4,0.0,BFS,1
4,1.0001659393310547,BFS,2
4,2.001047134399414,BFS,5
4,2.000570297241211,BFS,6
4,1.9998550415039062,BFS,5
5,18.00394058227539,BFS,5
5,11.003255844116211,BFS,6
5,22.00460433959961,BFS,6
5,7.001161575317383,BFS,3
5,17.003774642944336,BFS,5
5,10.00213623046875,BFS,4
5,16.004323959350586,BFS,6
5,14.002799987792969,BFS,5
5,6.000995635986328,BFS,5
5,54.01277542114258,BFS,6
6,136.0325813293457,BFS,6
6,220.0486660003662,BFS,7
6,183.04181098937988,BFS,7
6,293.06864738464355,BFS,7
6,197.04437255859375,BFS,6
6,269.0601348876953,BFS,8
6,1.0008811950683594,BFS,4
6,95.02148628234863,BFS,6
6,29.006004333496094,BFS,4
6,245.0571060180664,BFS,6
7,1516.340732574463,BFS,8
7,1986.823558807373,BFS,8
7,1946.2816715240479,BFS,7
7,490.109920501709,BFS,5
7,3573.3273029327393,BFS,11
7,3.000497817993164,BFS,4
7,657.1476459503174,BFS,6
7,570.12939453125,BFS,6
7,1162.2614860534668,BFS,6
7,1530.3444862365723,BFS,6
8,9726.106882095337,BFS,7
8,37496.22678756714,BFS,8
8,42945.080041885376,BFS,7
8,51037.689208984375,BFS,10
8,28125.982522964478,BFS,9
8,29447.57127761841,BFS,8
8,29982.38205909729,BFS,11
8,41914.827823638916,BFS,12
8,21358.710527420044,BFS,8
8,51070.38927078247,BFS,11
