Number of blocks,Time,Algorithm,Plan length
4,1.9998550415039062,DFS,21
4,1.0018348693847656,DFS,20
4,2.9997825622558594,DFS,7
4,1.0004043579101562,DFS,16
4,0.0,DFS,7
4,1.9993782043457031,DFS,14
4,0.0,DFS,9
4,2.0008087158203125,DFS,18
4,1.0004043579101562,DFS,15
4,2.000570297241211,DFS,19
5,32.00674057006836,DFS,55
5,7.0018768310546875,DFS,75
5,24.005413055419922,DFS,148
5,2.000093460083008,DFS,23
5,8.002042770385742,DFS,77
5,21.005868911743164,DFS,206
5,11.001825332641602,DFS,114
5,11.002540588378906,DFS,116
5,22.005081176757812,DFS,222
5,24.005413055419922,DFS,188
6,179.03995513916016,DFS,1191
6,347.0807075500488,DFS,2056
6,324.07307624816895,DFS,2037
6,325.0739574432373,DFS,878
6,355.08012771606445,DFS,1737
6,327.073335647583,DFS,630
6,92.02098846435547,DFS,464
6,223.04987907409668,DFS,1500
6,221.05050086975098,DFS,1474
6,24.005413055419922,DFS,165
