Number of blocks,Time,Algorithm,Plan length
10,0.0,GN1,8
10,0.0,GN1,12
10,0.0,GN1,11
10,0.0,GN1,9
10,0.9999275207519531,GN1,11
10,0.0,GN1,15
10,0.0,GN1,13
10,0.0,GN1,15
10,0.0,GN1,12
10,0.0,GN1,11
1000,10.00213623046875,GN1,1873
1000,11.002302169799805,GN1,1881
1000,10.003089904785156,GN1,1905
1000,10.001659393310547,GN1,1925
1000,11.002779006958008,GN1,1878
1000,10.001659393310547,GN1,1882
1000,11.002540588378906,GN1,1906
1000,11.003255844116211,GN1,1884
1000,11.001348495483398,GN1,1898
1000,11.002540588378906,GN1,1886
10000,155.03597259521484,GN1,19620
10000,121.03128433227539,GN1,19569
10000,126.02853775024414,GN1,19551
10000,153.08499336242676,GN1,19593
10000,121.02675437927246,GN1,19615
10000,161.03601455688477,GN1,19618
10000,163.03658485412598,GN1,19626
10000,128.02863121032715,GN1,19566
10000,167.04058647155762,GN1,19613
10000,122.02715873718262,GN1,19627
10250,123.02780151367188,GN1,20086
10250,156.0354232788086,GN1,20143
10250,127.02822685241699,GN1,20141
10250,124.02772903442383,GN1,20057
10250,163.03658485412598,GN1,20127
10250,130.02896308898926,GN1,20120
10250,126.02829933166504,GN1,20118
10250,157.03558921813965,GN1,20097
10250,124.02939796447754,GN1,20051
10250,164.03722763061523,GN1,20083
10500,162.03618049621582,GN1,20599
10500,132.02953338623047,GN1,20615
10500,162.03641891479492,GN1,20528
10500,161.03625297546387,GN1,20605
10500,128.02910804748535,GN1,20620
10500,166.03350639343262,GN1,20584
10500,165.50111770629883,GN1,20571
10500,131.02960586547852,GN1,20603
10500,168.04027557373047,GN1,20588
10500,131.02960586547852,GN1,20595
10750,134.03010368347168,GN1,21106
10750,169.0375804901123,GN1,21122
10750,168.03789138793945,GN1,21066
10750,133.02969932556152,GN1,21046
10750,176.90801620483398,GN1,21062
10750,164.03698921203613,GN1,21100
10750,131.02960586547852,GN1,21122
10750,170.03798484802246,GN1,21083
10750,163.0380153656006,GN1,21125
10750,133.02993774414062,GN1,21069
11,0.0,GN1,13
11,0.0,GN1,17
11,0.0,GN1,9
11,0.0,GN1,17
11,1.0006427764892578,GN1,11
11,0.0,GN1,16
11,0.0,GN1,17
11,0.0,GN1,13
11,0.0,GN1,16
11,0.0,GN1,16
11000,177.04415321350098,GN1,21597
11000,168.03741455078125,GN1,21593
11000,135.03074645996094,GN1,21606
11000,135.03360748291016,GN1,21601
11000,169.0375804901123,GN1,21604
11000,138.0307674407959,GN1,21622
11000,137.03083992004395,GN1,21581
11000,167.0377254486084,GN1,21655
11000,168.03932189941406,GN1,21600
11000,137.03083992004395,GN1,21616
11250,177.03938484191895,GN1,22130
11250,172.04046249389648,GN1,22073
11250,142.03214645385742,GN1,22018
11250,139.03141021728516,GN1,22103
11250,172.03855514526367,GN1,22044
11250,175.03929138183594,GN1,22078
11250,149.50156211853027,GN1,22057
11250,185.0414276123047,GN1,22049
11250,172.3618507385254,GN1,22095
11250,138.0307674407959,GN1,22072
11500,140.0313377380371,GN1,22594
11500,175.04000663757324,GN1,22623
11500,177.04272270202637,GN1,22522
11500,144.03200149536133,GN1,22565
11500,140.0299072265625,GN1,22550
11500,175.03905296325684,GN1,22569
11500,144.03319358825684,GN1,22532
11500,144.03223991394043,GN1,22580
11500,177.03962326049805,GN1,22596
11500,176.039457321167,GN1,22485
11750,146.03281021118164,GN1,23104
11750,149.0333080291748,GN1,23060
11750,181.04028701782227,GN1,23067
11750,183.04061889648438,GN1,23094
11750,151.03435516357422,GN1,23106
11750,151.0336399078369,GN1,23047
11750,180.0405979156494,GN1,23000
11750,179.04090881347656,GN1,23016
11750,152.51493453979492,GN1,23077
11750,155.03478050231934,GN1,23072
12,0.0,GN1,14
12,0.0,GN1,16
12,0.0,GN1,15
12,0.0,GN1,16
12,0.0,GN1,11
12,0.9999275207519531,GN1,18
12,0.0,GN1,18
12,0.0,GN1,13
12,0.0,GN1,19
12,0.0,GN1,14
12000,183.04181098937988,GN1,23532
12000,180.039644241333,GN1,23546
12000,149.0335464477539,GN1,23543
12000,150.03633499145508,GN1,23574
12000,184.04173851013184,GN1,23631
12000,186.04183197021484,GN1,23588
12000,152.03404426574707,GN1,23551
12000,151.0336399078369,GN1,23579
12000,183.04109573364258,GN1,23558
12000,183.04014205932617,GN1,23484
12250,152.03404426574707,GN1,24017
12250,153.03421020507812,GN1,24071
12250,152.03380584716797,GN1,24105
12250,186.04254722595215,GN1,24023
12250,192.04354286193848,GN1,24062
12250,154.03485298156738,GN1,23998
12250,152.03404426574707,GN1,24042
12250,189.0425682067871,GN1,23985
12250,188.04264068603516,GN1,24071
12250,158.0357551574707,GN1,24077
1250,47.009944915771484,GN1,2394
1250,13.002872467041016,GN1,2364
1250,14.002799987792969,GN1,2367
1250,14.00303840637207,GN1,2386
1250,13.002872467041016,GN1,2354
1250,14.00303840637207,GN1,2379
1250,13.003110885620117,GN1,2348
1250,14.002799987792969,GN1,2387
1250,14.003515243530273,GN1,2380
1250,13.003826141357422,GN1,2389
12500,187.0427131652832,GN1,24535
12500,190.04249572753906,GN1,24560
12500,190.04249572753906,GN1,24488
12500,159.03544425964355,GN1,24555
12500,158.0355167388916,GN1,24553
12500,192.04306602478027,GN1,24603
12500,191.04528427124023,GN1,24575
12500,192.04306602478027,GN1,24543
12500,160.0356101989746,GN1,24506
12500,155.03501892089844,GN1,24535
12750,196.0437297821045,GN1,25042
12750,199.04446601867676,GN1,25100
12750,198.0447769165039,GN1,25061
12750,164.03675079345703,GN1,25061
12750,158.2043170928955,GN1,25056
12750,198.0447769165039,GN1,25051
12750,201.04527473449707,GN1,25083
12750,197.04484939575195,GN1,25025
12750,165.0371551513672,GN1,25072
12750,158.0357551574707,GN1,25033
13,0.0,GN1,16
13,0.0,GN1,19
13,1.0001659393310547,GN1,20
13,0.0,GN1,13
13,0.0,GN1,22
13,0.0,GN1,19
13,0.0,GN1,18
13,0.0,GN1,20
13,0.0,GN1,20
13,0.0,GN1,18
13000,199.04446601867676,GN1,25538
13000,200.04558563232422,GN1,25576
13000,201.04551315307617,GN1,25559
13000,163.03658485412598,GN1,25505
13000,162.03594207763672,GN1,25571
13000,167.0372486114502,GN1,25549
13000,199.04446601867676,GN1,25574
13000,197.04437255859375,GN1,25556
13000,198.11344146728516,GN1,25525
13000,160.0358486175537,GN1,25532
13250,165.0376319885254,GN1,26073
13250,164.03627395629883,GN1,26067
13250,201.04527473449707,GN1,26013
13250,199.04446601867676,GN1,26073
13250,202.94690132141113,GN1,26085
13250,165.0369167327881,GN1,26066
13250,167.0379638671875,GN1,26048
13250,171.03815078735352,GN1,26027
13250,202.04663276672363,GN1,25993
13250,202.04663276672363,GN1,26086
13500,205.0459384918213,GN1,26561
13500,206.04586601257324,GN1,26555
13500,172.03855514526367,GN1,26567
13500,167.0379638671875,GN1,26542
13500,173.03872108459473,GN1,26514
13500,209.0466022491455,GN1,26483
13500,206.04634284973145,GN1,26519
13500,206.04634284973145,GN1,26548
13500,207.0467472076416,GN1,26497
13500,176.0396957397461,GN1,26561
13750,178.0397891998291,GN1,27069
13750,176.0396957397461,GN1,26987
13750,214.0486240386963,GN1,27052
13750,207.0467472076416,GN1,26909
13750,208.04667472839355,GN1,27042
13750,209.0468406677246,GN1,26994
13750,174.0398406982422,GN1,27005
13750,174.0405559539795,GN1,27024
13750,177.03986167907715,GN1,26993
13750,171.03862762451172,GN1,27034
14,0.0,GN1,15
14,0.0,GN1,20
14,0.0,GN1,18
14,0.0,GN1,21
14,0.0,GN1,15
14,0.0,GN1,17
14,0.0,GN1,18
14,0.0,GN1,25
14,0.0,GN1,17
14,0.0,GN1,16
14000,214.04385566711426,GN1,27520
14000,212.04733848571777,GN1,27498
14000,214.0486240386963,GN1,27560
14000,213.04726600646973,GN1,27489
14000,219.04945373535156,GN1,27501
14000,177.03962326049805,GN1,27533
14000,176.0411262512207,GN1,27539
14000,179.03971672058105,GN1,27493
14000,177.03962326049805,GN1,27522
14000,214.04790878295898,GN1,27451
14250,215.04831314086914,GN1,28005
14250,216.048002243042,GN1,28055
14250,220.05057334899902,GN1,28030
14250,216.0482406616211,GN1,28063
14250,180.0403594970703,GN1,28007
14250,179.04210090637207,GN1,28043
14250,183.04109573364258,GN1,28028
14250,182.04164505004883,GN1,28017
14250,187.78729438781738,GN1,27989
14250,221.1008071899414,GN1,27967
14500,222.4440574645996,GN1,28472
14500,225.1267433166504,GN1,28514
14500,221.52328491210938,GN1,28501
14500,220.0479507446289,GN1,28542
14500,225.50487518310547,GN1,28560
14500,225.09407997131348,GN1,28508
14500,186.28883361816406,GN1,28550
14500,184.80706214904785,GN1,28475
14500,186.15341186523438,GN1,28462
14500,184.7681999206543,GN1,28522
14750,221.29344940185547,GN1,29032
14750,224.30706024169922,GN1,29031
14750,224.9598503112793,GN1,29045
14750,228.35636138916016,GN1,29015
14750,230.75056076049805,GN1,29003
14750,232.05184936523438,GN1,29031
14750,233.80327224731445,GN1,29009
14750,228.3635139465332,GN1,29020
14750,225.32105445861816,GN1,28980
14750,227.40912437438965,GN1,28981
15,0.0,GN1,18
15,1.0020732879638672,GN1,24
15,0.0,GN1,22
15,0.0,GN1,22
15,0.0,GN1,21
15,0.0,GN1,20
15,0.0,GN1,15
15,0.0,GN1,17
15,0.0,GN1,23
15,0.9982585906982422,GN1,21
1500,17.003774642944336,GN1,2884
1500,16.00360870361328,GN1,2847
1500,16.232728958129883,GN1,2865
1500,16.00360870361328,GN1,2829
1500,16.005516052246094,GN1,2866
1500,16.025066375732422,GN1,2848
1500,16.81375503540039,GN1,2852
1500,16.507387161254883,GN1,2872
1500,16.00337028503418,GN1,2860
1500,16.00360870361328,GN1,2856
16,0.0,GN1,16
16,0.0,GN1,17
16,0.0,GN1,19
16,0.0,GN1,18
16,0.0,GN1,23
16,0.0,GN1,20
16,1.0004043579101562,GN1,20
16,0.0,GN1,25
16,0.0,GN1,21
16,0.0,GN1,24
17,0.0,GN1,20
17,0.0,GN1,22
17,0.9999275207519531,GN1,26
17,0.0,GN1,26
17,0.0,GN1,26
17,0.0,GN1,24
17,0.0,GN1,24
17,0.0,GN1,21
17,1.0006427764892578,GN1,22
17,0.0,GN1,21
1750,57.01804161071777,GN1,3345
1750,19.04892921447754,GN1,3380
1750,19.00458335876465,GN1,3361
1750,18.23115348815918,GN1,3368
1750,18.50724220275879,GN1,3335
1750,19.00482177734375,GN1,3363
1750,19.004344940185547,GN1,3352
1750,18.004417419433594,GN1,3335
1750,18.88418197631836,GN1,3337
1750,19.004106521606445,GN1,3339
18,0.0,GN1,20
18,0.0,GN1,26
18,0.9999275207519531,GN1,22
18,0.0,GN1,23
18,0.0,GN1,25
18,0.0,GN1,21
18,0.0,GN1,27
18,0.0,GN1,27
18,1.0004043579101562,GN1,27
18,0.0,GN1,28
19,0.0,GN1,27
19,0.0,GN1,28
19,0.0,GN1,25
19,0.9999275207519531,GN1,24
19,0.0,GN1,32
19,0.0,GN1,26
19,0.0,GN1,31
19,0.0,GN1,25
19,1.0001659393310547,GN1,26
19,0.0,GN1,29
20,0.0,GN1,28
20,0.0,GN1,26
20,0.7891654968261719,GN1,26
20,0.0,GN1,31
20,0.0,GN1,28
20,0.0,GN1,23
20,0.0,GN1,28
20,0.0,GN1,26
20,0.0,GN1,28
20,0.0,GN1,31
2000,22.51124382019043,GN1,3794
2000,23.00572395324707,GN1,3832
2000,23.005008697509766,GN1,3830
2000,22.005319595336914,GN1,3848
2000,22.994279861450195,GN1,3822
2000,23.00572395324707,GN1,3823
2000,22.007465362548828,GN1,3834
2000,21.7435359954834,GN1,3835
2000,51.91659927368164,GN1,3844
2000,22.005558013916016,GN1,3824
21,0.9996891021728516,GN1,32
21,0.0,GN1,33
21,0.0,GN1,31
21,0.0,GN1,34
21,0.0,GN1,27
21,1.0004043579101562,GN1,26
21,0.0,GN1,33
21,0.0,GN1,31
21,0.0,GN1,23
21,0.0,GN1,31
22,0.9999275207519531,GN1,26
22,0.0,GN1,29
22,0.0,GN1,33
22,0.0,GN1,33
22,0.0,GN1,34
22,1.0004043579101562,GN1,32
22,0.0,GN1,27
22,0.0,GN1,36
22,0.0,GN1,29
22,1.0004043579101562,GN1,35
2250,25.007247924804688,GN1,4354
2250,25.00176429748535,GN1,4322
2250,25.005817413330078,GN1,4319
2250,26.00574493408203,GN1,4336
2250,25.005102157592773,GN1,4307
2250,53.83563041687012,GN1,4324
2250,25.02727508544922,GN1,4357
2250,26.00693702697754,GN1,4330
2250,25.00605583190918,GN1,4327
2250,26.00550651550293,GN1,4323
23,0.0,GN1,35
23,0.0,GN1,34
23,0.0,GN1,30
23,0.0,GN1,30
23,1.0004043579101562,GN1,35
23,0.0,GN1,31
23,0.0,GN1,29
23,0.0,GN1,28
23,0.0,GN1,35
23,1.0004043579101562,GN1,29
24,0.0,GN1,37
24,0.0,GN1,39
24,0.0,GN1,37
24,1.0006427764892578,GN1,32
24,0.0,GN1,41
24,0.0,GN1,38
24,0.0,GN1,35
24,0.9996891021728516,GN1,40
24,0.0,GN1,33
24,0.0,GN1,33
25,0.0,GN1,36
25,0.0,GN1,41
25,0.0,GN1,41
25,0.0,GN1,33
25,0.0,GN1,34
25,0.9996891021728516,GN1,31
25,0.0,GN1,37
25,0.0,GN1,40
25,0.0,GN1,35
25,1.0001659393310547,GN1,36
250,3.0007362365722656,GN1,446
250,2.001047134399414,GN1,445
250,1.9998550415039062,GN1,457
250,4.002094268798828,GN1,460
250,2.343416213989258,GN1,433
250,3.0007362365722656,GN1,443
250,2.000570297241211,GN1,443
250,3.0007362365722656,GN1,440
250,3.0007362365722656,GN1,460
250,3.0002593994140625,GN1,459
2500,27.958154678344727,GN1,4836
2500,27.118921279907227,GN1,4795
2500,57.33609199523926,GN1,4811
2500,28.00583839416504,GN1,4769
2500,29.006004333496094,GN1,4802
2500,28.010129928588867,GN1,4821
2500,28.029203414916992,GN1,4800
2500,29.006481170654297,GN1,4826
2500,28.006315231323242,GN1,4822
2500,29.104948043823242,GN1,4831
26,0.0,GN1,38
26,0.9999275207519531,GN1,43
26,0.0,GN1,43
26,0.0,GN1,38
26,0.0,GN1,40
26,0.9999275207519531,GN1,38
26,0.0,GN1,32
26,0.0,GN1,42
26,0.0,GN1,38
26,0.0,GN1,35
27,0.0,GN1,45
27,0.0,GN1,45
27,1.0082721710205078,GN1,41
27,0.0,GN1,35
27,0.0,GN1,39
27,0.0,GN1,42
27,0.9946823120117188,GN1,43
27,0.0,GN1,42
27,0.0,GN1,37
27,0.0,GN1,43
2750,31.018495559692383,GN1,5327
2750,30.511140823364258,GN1,5313
2750,32.00793266296387,GN1,5304
2750,31.02588653564453,GN1,5304
2750,30.215740203857422,GN1,5353
2750,31.010866165161133,GN1,5315
2750,31.006336212158203,GN1,5338
2750,31.00752830505371,GN1,5308
2750,30.041217803955078,GN1,5297
2750,30.88831901550293,GN1,5323
28,0.0,GN1,45
28,0.0,GN1,40
28,0.0,GN1,42
28,0.0,GN1,42
28,1.0001659393310547,GN1,44
28,0.0,GN1,35
28,0.0,GN1,39
28,0.0,GN1,44
28,1.0004043579101562,GN1,47
28,0.0,GN1,46
29,0.0,GN1,45
29,1.0001659393310547,GN1,46
29,0.0,GN1,46
29,0.0,GN1,48
29,1.0001659393310547,GN1,44
29,0.0,GN1,40
29,0.0,GN1,48
29,0.0,GN1,40
29,1.001119613647461,GN1,47
29,0.0,GN1,41
30,0.0,GN1,45
30,0.9996891021728516,GN1,49
30,0.0,GN1,41
30,0.0,GN1,41
30,0.0,GN1,46
30,0.0,GN1,42
30,1.4863014221191406,GN1,37
30,0.0,GN1,49
30,0.0,GN1,39
30,0.0,GN1,49
3000,61.78450584411621,GN1,5785
3000,34.00707244873047,GN1,5829
3000,33.13159942626953,GN1,5823
3000,34.08932685852051,GN1,5780
3000,34.30604934692383,GN1,5806
3000,34.00778770446777,GN1,5759
3000,34.13558006286621,GN1,5795
3000,34.021854400634766,GN1,5797
3000,33.7529182434082,GN1,5801
3000,33.006906509399414,GN1,5826
31,0.0,GN1,48
31,1.0006427764892578,GN1,41
31,0.0,GN1,50
31,0.0,GN1,44
31,0.9992122650146484,GN1,48
31,0.0,GN1,48
31,0.0,GN1,44
31,0.0,GN1,44
31,1.0006427764892578,GN1,40
31,0.0,GN1,49
32,0.0,GN1,44
32,0.0,GN1,47
32,0.0,GN1,50
32,0.0,GN1,47
32,1.0004043579101562,GN1,50
32,0.0,GN1,47
32,0.0,GN1,52
32,1.0006427764892578,GN1,49
32,0.0,GN1,51
32,0.0,GN1,55
3250,36.00764274597168,GN1,6289
3250,65.24968147277832,GN1,6303
3250,36.0107421875,GN1,6291
3250,37.00852394104004,GN1,6290
3250,35.46857833862305,GN1,6263
3250,37.03188896179199,GN1,6288
3250,66.01500511169434,GN1,6311
3250,36.00788116455078,GN1,6305
3250,36.01241111755371,GN1,6271
3250,35.00676155090332,GN1,6241
33,0.0,GN1,51
33,0.0,GN1,45
33,0.0,GN1,47
33,0.99945068359375,GN1,53
33,0.0,GN1,59
33,0.0,GN1,56
33,1.0004043579101562,GN1,48
33,0.0,GN1,50
33,0.0,GN1,55
33,1.001119613647461,GN1,57
34,0.0,GN1,52
34,0.9996891021728516,GN1,57
34,0.0,GN1,55
34,0.0,GN1,57
34,1.0001659393310547,GN1,58
34,0.0,GN1,51
34,0.0,GN1,48
34,0.0,GN1,50
34,1.0004043579101562,GN1,52
34,0.0,GN1,53
35,1.0001659393310547,GN1,57
35,0.0,GN1,55
35,0.0,GN1,57
35,0.9999275207519531,GN1,59
35,0.0,GN1,55
35,0.0,GN1,55
35,1.0001659393310547,GN1,53
35,0.0,GN1,55
35,0.0,GN1,60
35,1.0001659393310547,GN1,54
3500,39.00957107543945,GN1,6751
3500,40.38119316101074,GN1,6771
3500,39.411067962646484,GN1,6778
3500,39.008378982543945,GN1,6776
3500,38.94972801208496,GN1,6791
3500,68.81046295166016,GN1,6808
3500,38.514137268066406,GN1,6746
3500,39.008378982543945,GN1,6787
3500,39.107322692871094,GN1,6786
3500,39.476633071899414,GN1,6769
36,0.0,GN1,61
36,1.0004043579101562,GN1,62
36,0.0,GN1,51
36,0.0,GN1,58
36,0.0,GN1,52
36,0.0,GN1,61
36,1.0001659393310547,GN1,55
36,0.0,GN1,57
36,0.0,GN1,59
36,1.0001659393310547,GN1,54
37,0.0,GN1,56
37,0.0,GN1,52
37,0.0,GN1,56
37,0.0,GN1,61
37,1.0006427764892578,GN1,56
37,0.0,GN1,54
37,0.0,GN1,54
37,0.99945068359375,GN1,60
37,0.0,GN1,59
37,0.5824565887451172,GN1,54
3750,43.42818260192871,GN1,7282
3750,43.00951957702637,GN1,7292
3750,43.02573204040527,GN1,7241
3750,43.71976852416992,GN1,7248
3750,73.51994514465332,GN1,7255
3750,44.20781135559082,GN1,7302
3750,43.47109794616699,GN1,7280
3750,44.00968551635742,GN1,7248
3750,72.02386856079102,GN1,7292
3750,43.1976318359375,GN1,7262
38,0.0,GN1,52
38,0.0,GN1,64
38,1.001119613647461,GN1,50
38,0.0,GN1,58
38,0.0,GN1,60
38,0.9996891021728516,GN1,54
38,0.0,GN1,58
38,0.0,GN1,56
38,0.0,GN1,61
