Number of blocks,Time,Algorithm,Plan length
4,1.0001659393310547,PERFECT,5
4,0.0,PERFECT,4
4,0.9999275207519531,PERFECT,5
4,0.0,PERFECT,3
4,0.0,PERFECT,3
4,1.0001659393310547,PERFECT,1
4,0.0,PERFECT,2
4,1.0013580322265625,PERFECT,5
4,0.0,PERFECT,6
4,1.0004043579101562,PERFECT,5
5,0.9989738464355469,PERFECT,5
5,0.0,PERFECT,6
5,1.0006427764892578,PERFECT,6
5,1.0001659393310547,PERFECT,3
5,0.0,PERFECT,5
5,1.0004043579101562,PERFECT,4
5,0.0,PERFECT,6
5,0.9992122650146484,PERFECT,5
5,1.001119613647461,PERFECT,5
5,0.0,PERFECT,6
6,0.9992122650146484,PERFECT,6
6,1.0018348693847656,PERFECT,7
6,0.9999275207519531,PERFECT,7
6,1.0001659393310547,PERFECT,7
6,0.9996891021728516,PERFECT,6
6,0.0,PERFECT,8
6,1.0008811950683594,PERFECT,4
6,0.9999275207519531,PERFECT,6
6,1.0001659393310547,PERFECT,4
6,0.0,PERFECT,6
7,1.0008811950683594,PERFECT,8
7,0.9999275207519531,PERFECT,8
7,1.0001659393310547,PERFECT,7
7,1.0001659393310547,PERFECT,5
7,1.0006427764892578,PERFECT,11
7,0.9987354278564453,PERFECT,4
7,1.0013580322265625,PERFECT,6
7,1.0008811950683594,PERFECT,6
7,0.99945068359375,PERFECT,6
7,0.9999275207519531,PERFECT,6
8,0.9992122650146484,PERFECT,7
8,0.9989738464355469,PERFECT,8
8,1.0006427764892578,PERFECT,7
8,2.000093460083008,PERFECT,10
8,1.0001659393310547,PERFECT,9
8,2.0003318786621094,PERFECT,8
8,1.001119613647461,PERFECT,11
8,1.0006427764892578,PERFECT,12
8,1.9998550415039062,PERFECT,8
8,1.0006427764892578,PERFECT,11
9,0.9992122650146484,PERFECT,8
9,2.000093460083008,PERFECT,9
9,0.9999275207519531,PERFECT,13
9,1.0008811950683594,PERFECT,11
9,1.9989013671875,PERFECT,11
9,1.001596450805664,PERFECT,10
9,1.9996166229248047,PERFECT,10
9,2.000570297241211,PERFECT,9
9,2.000570297241211,PERFECT,9
9,0.9996891021728516,PERFECT,13
10,1.001119613647461,PERFECT,8
10,2.0003318786621094,PERFECT,12
10,1.9993782043457031,PERFECT,11
10,2.0008087158203125,PERFECT,9
10,2.000093460083008,PERFECT,11
10,2.001047134399414,PERFECT,14
10,2.000570297241211,PERFECT,12
10,2.000093460083008,PERFECT,15
10,6.001472473144531,PERFECT,12
10,5.001068115234375,PERFECT,11
11,2.000093460083008,PERFECT,12
11,3.000974655151367,PERFECT,17
11,2.000570297241211,PERFECT,9
11,2.0012855529785156,PERFECT,17
11,1.9996166229248047,PERFECT,10
11,3.0007362365722656,PERFECT,15
11,2.0003318786621094,PERFECT,15
11,3.000497817993164,PERFECT,12
11,2.0008087158203125,PERFECT,15
11,3.0012130737304688,PERFECT,16
12,7.001399993896484,PERFECT,14
12,3.0014514923095703,PERFECT,15
12,2.000093460083008,PERFECT,15
12,2.0003318786621094,PERFECT,16
12,3.000974655151367,PERFECT,11
12,2.000093460083008,PERFECT,18
12,2.0008087158203125,PERFECT,18
12,3.000974655151367,PERFECT,13
12,3.000974655151367,PERFECT,19
12,1.9996166229248047,PERFECT,14
13,9.002208709716797,PERFECT,15
13,4.001140594482422,PERFECT,18
13,9.002923965454102,PERFECT,18
13,2.9997825622558594,PERFECT,13
13,3.000974655151367,PERFECT,19
13,4.000663757324219,PERFECT,19
13,3.0012130737304688,PERFECT,18
13,3.0002593994140625,PERFECT,19
13,4.000186920166016,PERFECT,20
13,11.002540588378906,PERFECT,17
14,4.002094268798828,PERFECT,15
14,3.000020980834961,PERFECT,19
14,4.00090217590332,PERFECT,17
14,4.001140594482422,PERFECT,21
14,15.00248908996582,PERFECT,14
14,3.000974655151367,PERFECT,17
14,3.000497817993164,PERFECT,17
14,4.000663757324219,PERFECT,25
14,4.001140594482422,PERFECT,16
14,12.002706527709961,PERFECT,16
15,11.002302169799805,PERFECT,17
15,4.001855850219727,PERFECT,24
15,16.003131866455078,PERFECT,21
15,5.00035285949707,PERFECT,21
15,26.00717544555664,PERFECT,18
15,29.005050659179688,PERFECT,19
15,4.001140594482422,PERFECT,15
15,4.001379013061523,PERFECT,16
15,4.000663757324219,PERFECT,22
15,4.001617431640625,PERFECT,21
16,3.9997100830078125,PERFECT,15
16,5.002021789550781,PERFECT,17
16,3.9997100830078125,PERFECT,19
16,4.00090217590332,PERFECT,17
16,4.000663757324219,PERFECT,23
16,17.004728317260742,PERFECT,19
16,4.000663757324219,PERFECT,19
16,21.004199981689453,PERFECT,23
16,19.00506019592285,PERFECT,20
16,21.004438400268555,PERFECT,23
17,5.001068115234375,PERFECT,20
17,5.002021789550781,PERFECT,20
17,6.001472473144531,PERFECT,25
17,5.000114440917969,PERFECT,24
17,5.000829696655273,PERFECT,25
17,5.00178337097168,PERFECT,22
17,21.004676818847656,PERFECT,23
17,6.001472473144531,PERFECT,20
17,5.001306533813477,PERFECT,22
17,4.000663757324219,PERFECT,21
18,31.006336212158203,PERFECT,18
18,46.01025581359863,PERFECT,24
18,5.00035285949707,PERFECT,22
18,5.002021789550781,PERFECT,21
18,24.00493621826172,PERFECT,24
18,22.005081176757812,PERFECT,20
18,6.00123405456543,PERFECT,27
18,5.001306533813477,PERFECT,26
18,25.005340576171875,PERFECT,25
18,6.002902984619141,PERFECT,27
19,7.0018768310546875,PERFECT,26
19,45.01032829284668,PERFECT,25
19,6.0024261474609375,PERFECT,24
19,6.000041961669922,PERFECT,21
19,7.002115249633789,PERFECT,28
19,6.000280380249023,PERFECT,25
19,10.00356674194336,PERFECT,30
19,6.000518798828125,PERFECT,23
19,6.000995635986328,PERFECT,25
19,6.00123405456543,PERFECT,28
20,7.00068473815918,PERFECT,27
20,62.01314926147461,PERFECT,23
20,29.006481170654297,PERFECT,26
20,7.002830505371094,PERFECT,29
20,33.00642967224121,PERFECT,26
20,7.003068923950195,PERFECT,22
20,52.01005935668945,PERFECT,22
20,7.0018768310546875,PERFECT,23
20,7.0018768310546875,PERFECT,27
20,69.0152645111084,PERFECT,30
21,47.01113700866699,PERFECT,31
21,46.00954055786133,PERFECT,32
21,140.0315761566162,PERFECT,30
21,281.0633182525635,PERFECT,32
21,66.01405143737793,PERFECT,26
21,36.00645065307617,PERFECT,23
21,10.003805160522461,PERFECT,32
21,6.999969482421875,PERFECT,29
21,7.001638412475586,PERFECT,23
21,9.002208709716797,PERFECT,29
22,40.009260177612305,PERFECT,25
22,72.01480865478516,PERFECT,27
22,10.003089904785156,PERFECT,32
22,45.009613037109375,PERFECT,30
22,10.003089904785156,PERFECT,34
22,8.001089096069336,PERFECT,31
22,8.00180435180664,PERFECT,24
22,89.0202522277832,PERFECT,36
22,77.01730728149414,PERFECT,28
22,11.003494262695312,PERFECT,34
23,115.02599716186523,PERFECT,33
