Number of blocks,Time,Algorithm,Plan length
10,0.0,US,9
10,0.0,US,14
10,0.0,US,13
10,0.0,US,11
10,0.0,US,14
10,0.0,US,15
10,0.0,US,14
10,0.0,US,17
10,0.0,US,15
10,0.0,US,14
1000,3.000497817993164,US,1954
1000,3.0007362365722656,US,1947
1000,3.0012130737304688,US,1958
1000,3.0007362365722656,US,1963
1000,2.0003318786621094,US,1952
1000,3.000497817993164,US,1955
1000,3.0002593994140625,US,1953
1000,3.000497817993164,US,1955
1000,21.004915237426758,US,1953
1000,3.0012130737304688,US,1957
10000,38.00821304321289,US,19884
10000,58.012962341308594,US,19852
10000,34.00731086730957,US,19861
10000,32.006263732910156,US,19863
10000,58.01248550415039,US,19873
10000,35.00795364379883,US,19863
10000,33.006906509399414,US,19867
10000,57.01279640197754,US,19870
10000,34.008026123046875,US,19878
10000,34.00754928588867,US,19874
10250,59.01360511779785,US,20367
10250,33.00738334655762,US,20380
10250,37.00757026672363,US,20379
10250,62.01434135437012,US,20358
10250,38.00797462463379,US,20369
10250,37.00828552246094,US,20362
10250,62.013864517211914,US,20368
10250,35.00986099243164,US,20370
10250,58.013200759887695,US,20370
10250,58.012962341308594,US,20370
10500,35.00795364379883,US,20863
10500,58.0134391784668,US,20873
10500,60.013771057128906,US,20846
10500,42.00887680053711,US,20869
10500,41.008949279785156,US,20869
10500,60.013532638549805,US,20869
10500,35.00795364379883,US,20862
10500,36.00811958312988,US,20854
10500,60.0132942199707,US,20870
10500,37.008047103881836,US,20878
10750,40.0090217590332,US,21364
10750,64.01419639587402,US,21375
10750,44.00944709777832,US,21365
10750,42.009592056274414,US,21358
10750,65.01436233520508,US,21360
10750,68.01700592041016,US,21372
10750,42.997121810913086,US,21355
10750,75.01673698425293,US,21375
10750,75.01673698425293,US,21365
10750,51.92708969116211,US,21370
11,0.0,US,16
11,0.0,US,18
11,0.0,US,15
11,0.0,US,18
11,0.0,US,14
11,0.0,US,16
11,0.0,US,18
11,0.0,US,14
11,0.0,US,17
11,1.001119613647461,US,18
11000,51.011085510253906,US,21857
11000,73.01688194274902,US,21875
11000,51.011085510253906,US,21869
11000,48.01130294799805,US,21871
11000,74.01657104492188,US,21876
11000,76.01761817932129,US,21879
11000,45.009613037109375,US,21877
11000,39.008140563964844,US,21882
11000,63.01426887512207,US,21848
11000,39.008378982543945,US,21867
11250,40.009260177612305,US,22374
11250,65.01388549804688,US,22369
11250,66.01405143737793,US,22362
11250,41.008949279785156,US,22362
11250,49.268245697021484,US,22347
11250,79.01787757873535,US,22370
11250,50.01115798950195,US,22360
11250,42.00935363769531,US,22350
11250,71.01607322692871,US,22374
11250,68.01390647888184,US,22365
11500,43.01095008850098,US,22875
11500,43.00999641418457,US,22870
11500,69.01669502258301,US,22841
11500,72.01623916625977,US,22858
11500,39.00885581970215,US,22854
11500,37.008047103881836,US,22862
11500,59.01312828063965,US,22846
11500,85.01911163330078,US,22871
11500,44.01063919067383,US,22867
11500,37.008047103881836,US,22829
11750,73.01568984985352,US,23369
11750,68.01533699035645,US,23363
11750,38.00797462463379,US,23352
11750,39.00861740112305,US,23377
11750,66.01500511169434,US,23356
11750,72.01600074768066,US,23362
11750,43.01095008850098,US,23353
11750,50.011396408081055,US,23349
11750,69.0155029296875,US,23364
11750,68.01486015319824,US,23350
12,0.0,US,17
12,0.0,US,19
12,0.0,US,19
12,0.0,US,19
12,0.0,US,15
12,0.0,US,20
12,0.0,US,19
12,0.0,US,16
12,0.0,US,20
12,0.0,US,16
12000,72.01671600341797,US,23860
12000,43.00951957702637,US,23858
12000,55.01222610473633,US,23858
12000,77.01921463012695,US,23865
12000,74.01657104492188,US,23882
12000,48.010826110839844,US,23863
12000,43.00975799560547,US,23857
12000,65.01507759094238,US,23852
12000,71.01631164550781,US,23861
12000,43.00856590270996,US,23834
12250,48.01130294799805,US,24352
12250,47.01113700866699,US,24356
12250,75.01697540283203,US,24370
12250,76.01690292358398,US,24337
12250,49.0117073059082,US,24361
12250,48.010826110839844,US,24346
12250,73.01592826843262,US,24348
12250,74.01585578918457,US,24345
12250,77.01873779296875,US,24359
12250,47.01089859008789,US,24370
1250,4.000663757324219,US,2457
1250,4.00090217590332,US,2448
1250,4.000425338745117,US,2451
1250,3.0007362365722656,US,2452
1250,3.0002593994140625,US,2449
1250,4.000663757324219,US,2448
1250,4.001140594482422,US,2442
1250,3.000497817993164,US,2444
1250,4.00090217590332,US,2454
1250,4.001140594482422,US,2462
12500,69.0152645111084,US,24848
